PAIR_ID;NODE_ID_A;FRASE_A;NODE_ID_B;FRASE_B;RELATION_TYPE;CONFIDENCE
1;regolamento:1:7;L’elettorato attivo è definito all’art. 10 comma 7 dello Statuto. Le elezioni del Rettore avvengono secondo le modalità previste dall’art. 10 commi 8, 9, 10, 11 e 12 dello Statuto.;statuto:10:7;"L'elettorato attivo per l’elezione del Rettore è costituito: a) dai professori di ruolo di I e II fascia, dai ricercatori a tempo indeterminato e dai ricercatori a tempo determinato di cui alla lettera b) del comma 3 dell’art. 24 della legge 240/2010; b) dai ricercatori a tempo determinato di cui alla lettera a) del comma 3 dell’art. 24 della legge 240/10; c) dal personale tecnico-amministrativo; d) dai rappresentanti degli studenti, dei dottorandi e dei titolari di assegno di ricerca in seno agli organi e alle strutture del Politecnico.";explicit_reference;1.0
2;regolamento:10:1;L’art. 12 dello Statuto definisce competenze, composizione e modalità di formazione del Consiglio di Amministrazione. In particolare i bandi di cui all'art. 12, comma 4 lettera a) dello Statuto devono rimanere aperti per almeno trenta giorni, al fine di permettere una adeguata pubblicizzazione. In caso di riapertura di un bando nei casi previsti dallo Statuto, questo deve rimanere aperto per almeno quattordici giorni.;statuto:12;"Il Consiglio di Amministrazione svolge funzioni di indirizzo strategico, considerate le proposte del Senato Accademico. Opera nel rispetto del principio della sostenibilità finanziaria delle attività di Ateneo e vigila sull’integrità patrimoniale di Ateneo. In particolare, il Consiglio di Amministrazione: a) approva il bilancio di previsione annuale e triennale, proposto dal Rettore e previo parere del Senato Accademico per gli aspetti di sua competenza, nonché il conto consuntivo e il documento di programmazione triennale dell’Ateneo; b) approva la programmazione finanziaria annuale e triennale del personale; c) delibera, previo parere obbligatorio del Senato Accademico, in merito all’attivazione o soppressione di corsi e sedi, Dipartimenti e strutture; d) adotta il Regolamento di Amministrazione e Contabilità sentito il Senato Accademico; e) trasmette al Ministro dell’Istruzione, Università e Ricerca e al Ministero dell’Economia e delle Finanze sia il bilancio di previsione annuale e triennale, sia il conto consuntivo; f) conferisce l’incarico di Direttore Generale previo parere obbligatorio del Senato Accademico; g) commina le sanzioni disciplinari a professori e ricercatori, ovvero ne dispone l’archiviazione entro 30 giorni dalla ricezione del parere vincolante del Collegio di Disciplina e conformemente allo stesso, fatta salva la competenza del Rettore di cui all’articolo 10, comma 3, lett. g) del presente Statuto. h) approva le proposte di chiamata, effettuate dai Dipartimenti, dei professori di prima e seconda fascia e dei ricercatori; i) assegna ai centri di responsabilità le risorse finanziarie destinate ai rispettivi budget di competenza; j) delibera atti di gestione che non siano affidati dalla legge o dallo Statuto ad altri organi. Il Consiglio di Amministrazione è composto da undici componenti: a) il Rettore, membro di diritto; b) cinque componenti appartenenti ai ruoli dell’Ateneo (professori, ricercatori a tempo indeterminato e personale tecnico-amministrativo a tempo indeterminato); c) tre componenti non appartenenti ai ruoli dell’Ateneo a decorrere dai tre anni precedenti alla designazione e per tutta la durata dell’incarico; d) due rappresentanti degli studenti. I componenti di cui alle lettere b) e c) del precedente comma devono essere in possesso di comprovata competenza in campo gestionale ovvero di un’esperienza professionale di alto livello con una necessaria attenzione alla qualificazione scientifica culturale e sono individuati a seguito di bandi pubblici secondo la procedura seguente: a) gli aspiranti candidati rispondono a bandi pubblicati sul sito internet di Ateneo e adeguatamente pubblicizzati. I bandi sono approvati dal Senato Accademico ed emanati dal Rettore, devono fare esplicito riferimento a quanto l’art. 2, comma 1 della Legge 240/2010 richiede in termini di competenza ed esperienza dei candidati e devono contenere i relativi criteri di verifica; b) le candidature sia per i componenti interni, sia per quelli esterni, devono essere corredate da un curriculum vitae che evidenzi il possesso dei requisiti richiesti dal bando. I curriculum di tutti coloro che presentano la propria candidatura sono pubblicati sul sito di Ateneo; c) il Senato Accademico, avvalendosi di un apposito Comitato, accerta che le candidature presentate soddisfino i requisiti pubblicati nei bandi e compone la lista di candidati interni e la lista di candidati esterni includendo in esse tutti i candidati che soddisfino i suddetti requisiti. Il Comitato, che dovrà includere almeno 1/3 di componenti esterni all’Ateneo, sarà individuato secondo modalità definite da apposito Regolamento approvato dal Senato Accademico; d) qualora dopo l’accertamento del soddisfacimento dei requisiti il numero di candidati interni risulti inferiore a dieci nominativi, viene riaperto il relativo bando per una sola volta. Qualora dopo l’accertamento del soddisfacimento dei requisiti il numero di candidati interni per ciascun genere risulti inferiore al 30% dei nominativi, viene riaperto il relativo bando per una sola volta; e) qualora dopo l’accertamento del soddisfacimento dei requisiti il numero di candidati esterni risulti inferiore a sei nominativi, viene riaperto il relativo bando per una sola volta. Qualora dopo l’accertamento del soddisfacimento dei requisiti il numero di candidati esterni per ciascun genere risulti inferiore al 30% dei nominativi, viene riaperto il relativo bando per una sola volta. I cinque componenti appartenenti ai ruoli dell’Ateneo sono eletti dai professori, dai ricercatori a tempo indeterminato e dal personale tecnico-amministrativo, nell’ambito della lista di cui alla lettera c) del comma 4. L’elezione avviene con elettorato passivo unico e con votazione distinta per l’elettorato attivo formato dai professori e ricercatori a tempo indeterminato e l’elettorato attivo formato dal personale tecnicoamministrativo a tempo indeterminato. Sono eletti quattro candidati votati dai professori e ricercatori a tempo indeterminato e un candidato votato dal personale tecnico-amministrativo. Il meccanismo di designazione mira a garantire la presenza di almeno due rappresentanti per ciascun genere. I tre componenti non appartenenti ai ruoli dell’Ateneo sono designati dal Senato Accademico, nell’ambito della lista di cui alla lettera c) del comma 4, prevedendo la designazione di almeno un componente per ciascun genere. La designazione avviene con votazione del Senato Accademico a maggioranza dei componenti il Senato medesimo. Il Senato Accademico riapre la procedura di formazione della lista, come indicato nel comma 4, qualora non risulti designato il numero previsto di componenti esterni. I rappresentanti degli studenti, in numero di due, sono eletti con modalità specificate dal Regolamento Generale di Ateneo. Partecipano alle riunioni del Consiglio di Amministrazione senza diritto di voto e senza che la loro presenza concorra alla formazione del numero legale: ̵ il Direttore Generale; ̵ il Prorettore ̵ i Vice Rettori per la didattica e per la ricerca; ̵ ulteriori vice Rettori che il Rettore può individuare con apposito provvedimento, sentito il Consiglio di Amministrazione. La durata in carica del Consiglio di Amministrazione è di quattro anni; i rappresentanti degli studenti hanno un mandato di durata biennale; il mandato dei componenti del Consiglio è rinnovabile una sola volta. Il Regolamento Generale di Ateneo indica le norme di funzionamento del Consiglio di Amministrazione. Per il quorum strutturale e funzionale si fa riferimento a quanto disposto dall’art. 33 del presente Statuto.";explicit_reference;1.0
3;regolamento:11:1;"I Dipartimenti hanno le finalità previste nell'art. 22 dello Statuto; sono centri di responsabilità che gestiscono il budget di loro competenza in autonomia e redigono i relativi documenti contabili, nel rispetto dei principi contabili, anche in riferimento al bilancio unico di Ateneo ai sensi della Legge 240/2010.";statuto:22;"I Dipartimenti, anche in collaborazione fra loro: a) promuovono e coordinano le attività di ricerca istituzionali in uno o più settori omogenei per fini o per metodo, nel rispetto dell'autonomia di ogni singolo professore e ricercatore; b) organizzano e svolgono le attività di ricerca, di consulenza e di servizio al territorio mediante contratti e convenzioni; c) organizzano e gestiscono le attività dei corsi di dottorato di ricerca e di specializzazione che hanno sede nel Dipartimento in collaborazione con la Scuola di Dottorato; d) organizzano e svolgono, nell’ambito delle risorse di propria competenza, le attività formative dei corsi studio; in particolare: - propongono agli organi competenti l’attivazione o la soppressione di corsi di studio; - propongono i candidati per il ruolo di Referente, non necessariamente appartenenti al Dipartimento di riferimento; - attribuiscono gli incarichi didattici degli insegnamenti di loro competenza; - propongono gli insegnamenti da affidare, mediante apposito bando, con contratto ad esterni e ne garantiscono la copertura economica; e) collaborano alla realizzazione di master universitari, corsi di perfezionamento e programmi di formazione permanente con la Scuola di Master e Formazione Permanente; f) redigono periodicamente i documenti di autovalutazione richiesti dagli Organi di Ateneo; g) propongono al Consiglio di Amministrazione l’attivazione delle procedure concorsuali per professori di ruolo e per ricercatori nell’ambito delle risorse disponibili, anche sentite le esigenze manifestate dai Collegi dei Corsi di Studio; h) formulano al Consiglio di Amministrazione le proposte di chiamata dei professori di I o II fascia e dei ricercatori. I Dipartimenti sono centri di responsabilità, gestiscono in autonomia il budget di loro competenza e redigono i relativi documenti contabili, nel rispetto dei principi contabili, anche in riferimento al bilancio unico di Ateneo di cui alla L. 240/2010. Ai Dipartimenti afferiscono tutti i professori e i ricercatori, ai quali è garantita la possibilità di opzione fra i Dipartimenti secondo modalità previste nel Regolamento Generale di Ateneo. Fanno altresì riferimento ai Dipartimenti i titolari di assegno di ricerca e i professori a contratto le cui ricerche o i cui insegnamenti siano pertinenti ai Dipartimenti stessi. Il numero minimo di professori e ricercatori afferenti a ciascun Dipartimento è fissato dal Senato Accademico ed è comunque non inferiore a trentacinque, secondo la normativa vigente. Il Direttore Generale assegna ai Dipartimenti le risorse umane e strumentali per il supporto amministrativo-gestionale e tecnico necessario per il raggiungimento dei fini istituzionali e, sentiti i Direttori dei Dipartimenti, individua i Responsabili Gestionali Amministrativi. Sono organi del Dipartimento: Consiglio, Direttore e Giunta. Il Consiglio è l'organo che indirizza e programma le attività del Dipartimento; approva il budget preventivo, al fine di perseguire le finalità individuate dalla missione dipartimentale, utilizzando le risorse finanziarie, umane e strumentali di propria competenza; approva i documenti contabili consuntivi e i documenti di autovalutazione da trasmettere agli Organi di Ateneo. Fanno parte del Consiglio: i professori di ruolo e i ricercatori afferenti al Dipartimento; una rappresentanza del personale tecnico-amministrativo che svolge la propria funzione per il Dipartimento in misura non superiore al 20% dei professori e ricercatori, un rappresentante dei titolari di assegno di ricerca e uno degli studenti iscritti ai corsi di dottorato e di specializzazione afferenti al Dipartimento; una rappresentanza degli studenti iscritti ai corsi di studio associati al Dipartimento. Il Responsabile Gestionale Amministrativo partecipa alle riunioni senza diritto di voto. Le modalità di funzionamento del Consiglio e di designazione delle rappresentanze sono contenute nel Regolamento del Dipartimento; il Consiglio può delegare specifiche competenze alla Giunta. Il Direttore rappresenta il Dipartimento ed è responsabile, per quanto di propria competenza, dello svolgimento di tutte le attività istituzionali che fanno capo al Dipartimento in coerenza con i vincoli e le previsioni normative. In particolare tiene i rapporti con gli Organi di Ateneo ed esercita tutte le altre incombenze che gli sono attribuite dalle leggi, dallo Statuto e dai Regolamenti, presiede il Consiglio e la Giunta, fissa l’ordine del giorno delle relative riunioni e cura l'esecuzione dei rispettivi deliberati, per quanto di propria competenza. In collaborazione con il Responsabile Gestionale Amministrativo e in accordo con il Direttore Generale, individua le azioni necessarie per una adeguata organizzazione interna, finalizzata all'efficienza e all'efficacia dei servizi e ne cura la realizzazione; assicura l’applicazione dei principi della qualità e della trasparenza che devono permeare tutte le attività istituzionali. Il Direttore è eletto dai componenti del Consiglio tra i professori di ruolo. Il Direttore del Dipartimento è nominato con decreto del Rettore, dura in carica quattro anni e può essere rieletto una sola volta. Il Direttore è eletto a maggioranza assoluta degli aventi diritto nelle prime due votazioni. Le votazioni sono valide se la partecipazione supera il 50% degli aventi diritto. In caso di due votazioni non valide, la procedura per la presentazione delle candidature deve ripartire dall’inizio con le modalità previste dal Regolamento Generale d’Ateneo. Nel caso in cui nessun candidato raggiunga la maggioranza assoluta degli aventi diritto nelle prime due votazioni valide, si procederà a un terzo turno al quale accederanno i due candidati che nell'ultima votazione hanno riportato il maggior numero di voti o un unico candidato iniziale. Nel caso di due candidati al ballottaggio, la votazione è valida se vi è una partecipazione superiore al 50% degli aventi diritto e risulta eletto il candidato che ha riportato la maggioranza dei voti. Al terzo turno la votazione è comunque valida e risulta eletto il candidato al ballottaggio che ottiene la maggioranza dei voti oppure l’unico candidato iniziale che ottenga preferenze in misura superiore al 30% degli aventi diritto. Il Direttore designa tra i professori di ruolo un vice Direttore che lo sostituisce in tutte le sue funzioni nei casi di impedimento o di assenza. La Giunta è l’organo esecutivo che coadiuva il Direttore. Ne fanno parte professori di ruolo, ricercatori e una rappresentanza del personale tecnico-amministrativo che svolge la propria funzione per il Dipartimento; partecipa altresì il Responsabile Gestionale Amministrativo, senza diritto di voto. Composizione della Giunta, durata del mandato e norme riguardanti le modalità di elezione e di funzionamento sono indicate nel Regolamento del Dipartimento.";explicit_reference;1.0
4;regolamento:11:4;Ai sensi dell’art. 24 dello Statuto il Senato Accademico identifica per ciascun Corso di Laurea e di Laurea Magistrale il Dipartimento di riferimento, responsabile per lo svolgimento delle attività formative.;statuto:24;Il Senato Accademico identifica per ciascun Corso di Laurea e di Laurea Magistrale, un Dipartimento di riferimento, responsabile per lo svolgimento delle attività formative. L’organizzazione e gestione dei Corsi di Laurea e dei Corsi di Laurea Magistrale è realizzata tramite Collegi dei Corsi di Studio. Un Collegio dei Corsi di Studio è composto dai docenti impegnati negli insegnamenti previsti in uno o più Corsi di Laurea e Laurea Magistrale culturalmente omogenei o affini. Fa parte del Collegio dei Corsi di Studio una rappresentanza elettiva degli studenti. I Collegi sono individuati dal Senato Accademico e operano secondo le indicazioni di coordinamento provenienti dal Senato Accademico ovvero dalla eventuale struttura di raccordo di cui all’art. 23 comma 2. I professori di ruolo e i ricercatori del Collegio eleggono, su proposta del Dipartimento di riferimento, un Referente per ogni corso di laurea e laurea magistrale. I professori di ruolo e i ricercatori del Collegio eleggono un Coordinatore, che lo presiede, scegliendolo al suo interno tra i professori di ruolo e i ricercatori a tempo indeterminato. I Referenti e i Coordinatori durano in carica tre anni e non possono rimanere in carica per più di due mandati consecutivi. Le modalità di elezione e di funzionamento sono definite da appositi Regolamenti.;explicit_reference;1.0
5;regolamento:12:1;Ai sensi dell’art. 11 dello Statuto, il Senato Accademico promuove sedi di discussione e confronto scientifico e culturale e contribuisce a delineare la strategia di medio e lungo periodo per la formazione.;statuto:11;"Il Senato Accademico rappresenta la comunità costituita dal personale e dagli studenti del Politecnico. Propone le linee di indirizzo per le attività di ricerca e formazione dell’Ateneo. Formula proposte sulla gestione delle risorse dell’Ateneo. Promuove sedi di discussione e confronto scientifico e culturale dell’Ateneo. In particolare, il Senato Accademico: a) approva, a maggioranza assoluta dei componenti, previo parere favorevole del Consiglio di Amministrazione, anch’esso espresso con analoga maggioranza assoluta, lo Statuto e ogni sua successiva modifica secondo le procedure definite nel Titolo V del presente Statuto; b) approva, a maggioranza assoluta dei componenti, il Regolamento Generale di Ateneo, sentito il Consiglio di Amministrazione; c) approva, previo parere favorevole del Consiglio di Amministrazione, i regolamenti di Ateneo in materia di didattica e di ricerca, compresi quelli di competenza dei Dipartimenti; d) approva, previo parere favorevole del Consiglio di Amministrazione, il Codice Etico di Ateneo e decide, su proposta del Rettore, sulle relative violazioni, qualora non ricadano sotto la competenza del Collegio di Disciplina, secondo le modalità previste dall’art. 10 della legge n. 240/2010; e) svolge una funzione di coordinamento e di raccordo tra le strutture didattiche e di ricerca di cui al titolo III del presente Statuto; svolge altresì una funzione di coordinamento delle attività didattiche e formative qualora non venga istituita la struttura di raccordo di cui all’art.21 comma 2 del presente Statuto; f) formula proposte ed esprime pareri obbligatori in materia di didattica, di ricerca e di servizi agli studenti; g) formula proposte ed esprime un parere obbligatorio in merito al documento di programmazione triennale di Ateneo previsto dalle leggi vigenti e in merito al piano strategico di Ateneo; h) formula proposte ed esprime pareri obbligatori sull’attivazione, modifica o soppressione di corsi, sedi, Dipartimenti e altre eventuali strutture didattiche e di ricerca; i) esprime un parere obbligatorio sul bilancio di previsione annuale e triennale e sul conto consuntivo di Ateneo che vengono proposti dal Rettore al Consiglio di Amministrazione per l’approvazione; j) designa, su proposta del Rettore, il componente effettivo del Collegio dei Revisori dei Conti con funzioni di presidente; k) designa i componenti del Consiglio di Amministrazione non appartenenti ai ruoli dell’Ateneo; l) esprime parere obbligatorio in merito alla proposta di conferimento dell’incarico di Direttore Generale; m) individua tematiche di ricerca di particolare interesse per l’Ateneo e formula proposte agli organi e alle strutture competenti in merito ad azioni di sostegno e di indirizzo della ricerca; n) esprime pareri su tutte le altre materie ad esso sottoposte dal Rettore; o) esercita tutte le altre attribuzioni che gli sono demandate da norme generali e dal Regolamento Generale di Ateneo. Il Senato Accademico è convocato in via ordinaria dal Rettore almeno quattro volte l’anno e all'occorrenza in via straordinaria. Il Senato Accademico è comunque convocato dal Rettore quando almeno un terzo dei suoi componenti ne faccia domanda motivata. Le norme per il funzionamento del Senato Accademico sono contenute nel Regolamento Generale di Ateneo. Il Senato Accademico è composto da: a) il Rettore, con funzioni di presidente; b) da 15 a 24 docenti di ruolo, eletti tenendo in considerazione le aree scientificodisciplinari presenti in Ateneo, tra i quali: i) nove rappresentanti di fascia, professori e ricercatori a tempo indeterminato; ii) i rappresentanti di ciascun Dipartimento, tra i quali Direttori di Dipartimento in numero almeno pari ad un terzo del numero complessivo dei docenti di ruolo. c) due rappresentanti del personale tecnico-amministrativo; d) un rappresentante dei ricercatori a tempo determinato; e) un rappresentante dei titolari di assegno di ricerca in possesso del titolo di Dottore di Ricerca; f) un numero di rappresentanti degli studenti, di cui uno iscritto al Dottorato di Ricerca, pari al 15% (arrotondato all’intero superiore) del numero complessivo di componenti del Senato, compreso il Rettore. I rappresentanti dei professori e dei ricercatori a tempo indeterminato di cui al comma 4 lettera b) sono eletti per fasce. L’elettorato attivo e passivo relativo ai rappresentanti di fascia è composto da tutti i professori o ricercatori a tempo indeterminato appartenenti alla fascia. Il numero di rappresentanti per fascia è proporzionale al peso che la fascia ha sul complesso dei professori e ricercatori confermati di Ateneo. La numerosità viene ricalcolata a ogni rinnovo del Senato Accademico. Le posizioni vengono assegnate prima per quozienti pieni e poi secondo i resti, cominciando dal maggiore. L’elettorato passivo dei rappresentanti di Dipartimento, di cui al comma 4 lettera b) i, è costituito da tutti i professori e ricercatori a tempo indeterminato del Dipartimento. L’elettorato attivo dei rappresentanti di Dipartimento, di cui al comma 4 lettera b) i, è costituito da tutti i professori di ruolo ed i ricercatori del Dipartimento. L’elezione dei rappresentanti di Dipartimento ha luogo secondo modalità individuate dal Regolamento Generale di Ateneo. Qualora il numero di Dipartimenti sia inferiore a sei o superiore a quindici, si provvede a ridefinire la composizione del Senato Accademico, secondo la normativa vigente. I componenti di cui al comma 4 lettera c) sono eletti dal personale tecnicoamministrativo. Le candidature devono essere presentate corredate da firme di colleghi della medesima tipologia di personale e da un curriculum vitae che verrà pubblicato su apposito sito di Ateneo, secondo indicazioni contenute nel Regolamento Generale di Ateneo. Il componente di cui al comma 4 lettera d) è eletto da tutti i ricercatori a tempo determinato. Resta in carica fino all’interruzione del contratto di lavoro, qualora questa intervenga prima della scadenza del Senato Accademico. Il componente di cui al comma 4, lettera e) è eletto da tutti i titolari di assegno di ricerca in possesso del titolo di dottore di ricerca. Resta in carica fino all’interruzione del contratto di lavoro, qualora questa intervenga prima della scadenza del Senato Accademico. I rappresentanti degli studenti in Senato Accademico sono eletti secondo le norme specificate nel Regolamento Generale di Ateneo. Per i rappresentanti di professori e ricercatori a tempo indeterminato di cui al comma 4 lettera b) i, le candidature per ciascuna fascia devono necessariamente comprendere un numero minimo di candidati per ciascun genere non inferiore alla metà del numero di rappresentanti. Per i componenti di cui al comma 4 lettere d) ed e) e per i rappresentanti dei Dipartimenti di cui al comma 4 lettera b) ii, le candidature devono necessariamente comprendere almeno un candidato per ciascun genere. Per i rappresentanti di cui al comma 4 lettera c), le candidature devono necessariamente comprendere almeno due candidati per ciascun genere. Qualora alla chiusura del termine per candidarsi, le candidature non rispecchino i requisiti sopra indicati, vengono riaperti i termini di candidatura, per una sola volta, per la fascia o tipologia in questione. Partecipano alle sedute del Senato Accademico senza diritto di voto e senza che la loro presenza concorra alla formazione del numero legale: - il Direttore Generale; - il Prorettore; - i vice Rettori per la didattica e per la ricerca; - ulteriori vice Rettori che il Rettore può individuare con apposito provvedimento, sentito il Senato Accademico. Il Senato Accademico dura in carica quattro anni e i suoi componenti possono essere rieletti una sola volta. Il Senato Accademico è presieduto dal Rettore. Il Senato Accademico è convocato obbligatoriamente dal suo decano (escluso il Rettore) qualora almeno un terzo dei suoi componenti con diritto di voto presentino richiesta scritta per proporre mozione di sfiducia del Rettore da sottoporre al corpo elettorale. Tale mozione può essere proposta non prima che siano trascorsi due anni dall’inizio del mandato del Rettore. La convocazione deve avvenire entro 30 giorni dal ricevimento della richiesta e la riunione è presieduta dal decano medesimo. La mozione è approvata con il voto favorevole di due terzi dei componenti il Senato Accademico, escludendo dal computo il Rettore. Per il quorum strutturale e funzionale si fa riferimento a quanto disposto dall’art. 33 del presente Statuto.";explicit_reference;1.0
6;regolamento:12:10;Il coordinamento dell’attività didattica e formativa è affidato al Senato Accademico che formula proposte ed esprime pareri obbligatori sulle proposte riguardanti l’istituzione, l’attivazione o la soppressione di corsi di Laurea e di Laurea Magistrale e/o la modifica del Regolamento Didattico di Ateneo dei corsi di Laurea e di Laurea Magistrale. Esprime altresì pareri su tutte le altre materie didattiche ad esso sottoposte dal Rettore. Il Senato Accademico, ai sensi dell’art. 23 dello Statuto di Ateneo, si avvale di una commissione istruttoria della quale definisce composizione e funzioni e che è presieduta dal Vice Rettore per la Didattica e di cui fanno parte i Coordinatori dei Collegi dei Corsi di Studio oppure propone al Consiglio di Amministrazione l’attivazione di un’unica struttura di raccordo tra tutti i Dipartimenti, ai sensi dell’art. 2 comma 2 lettera c) della L. 240/2010, la cui composizione e funzioni sono definite nel medesimo art. 23 dello Statuto.;statuto:23;"Il coordinamento dell’attività didattica e formativa è affidato al Senato Accademico, che si può avvalere di una commissione istruttoria. Di tale commissione il Senato definisce denominazione, funzioni, composizione ed eventuali deleghe. Il Senato Accademico, ove necessario, può proporre al Consiglio di Amministrazione l’attivazione di un’unica struttura di raccordo tra tutti i Dipartimenti ai sensi dell’art. 2 comma 2 lettera c) della L. 240/2010. L’organo deliberante della struttura di cui al comma 2 del presente articolo, ove istituita, è composto da: - il Vice Rettore per la didattica, che lo presiede; - i Direttori dei Dipartimenti; - i Coordinatori dei Collegi dei Corsi di Studio, di cui all’art. 24; - un rappresentante eletto degli studenti per ognuno dei Collegi dei Corsi di Studio. Il mandato del Presidente dura tre anni ed è rinnovabile una sola volta; il mandato dei rappresentanti degli studenti è biennale ed è rinnovabile una sola volta. I Coordinatori dei Collegi dei Corsi di Studio nell’organo deliberante della struttura non possono in ogni caso superare il 10% dei professori e ricercatori del Politecnico. La struttura di raccordo, ove istituita: a) formula a Senato Accademico e Consiglio di Amministrazione proposte sull’evoluzione della offerta formativa; b) coordina e razionalizza le attività di progettazione dei Collegi dei Corsi di Studio secondo criteri di assicurazione della qualità e di sostenibilità; c) coordina e razionalizza le attività didattiche tra i Dipartimenti, tenendo conto delle esigenze manifestate dai Corsi di studio, comprese le attività trasversali ai corsi di studio, di alta formazione e sperimentali; d) promuove e favorisce le iniziative di internazionalizzazione dei corsi di studio; e) coordina le attività di orientamento in ingresso e in uscita; f) individua i criteri per la gestione complessiva della attività didattiche da parte dei servizi di ateneo dedicati.";explicit_reference;1.0
7;regolamento:12:2;"In conformità all’art. 24, comma 1 dello Statuto, il Senato Accademico identifica per ciascun Corso di Laurea e di Laurea Magistrale un Dipartimento di riferimento, responsabile delle attività formative. In accordo con le linee di indirizzo e le deliberazioni assunte dal Senato Accademico e dal Consiglio di Amministrazione, i Dipartimenti possono deliberare proposte: di istituzione e soppressione di corsi di Laurea e di Laurea Magistrale; di modifica del Regolamento Didattico di Ateneo dei corsi di Laurea e di Laurea Magistrale di cui sono responsabili. In accordo con le modalità definite dal Senato Accademico e dal Consiglio di Amministrazione, i Dipartimenti assegnano il carico didattico ai docenti, assicurando la copertura degli insegnamenti afferenti ai Settori Scientifico Disciplinari loro attribuiti.";statuto:24:1;Il Senato Accademico identifica per ciascun Corso di Laurea e di Laurea Magistrale, un Dipartimento di riferimento, responsabile per lo svolgimento delle attività formative.;explicit_reference;1.0
8;regolamento:13:8;Il Comitato nomina il Garante degli Studenti con le funzioni previste dall’art. 18 dello Statuto e con mandato di durata coincidente con quella del Comitato.;statuto:18;Il Garante degli Studenti viene nominato dal Comitato Paritetico per la Didattica quale referente per le funzioni di garanzia degli studenti ed è scelto tra i professori di I fascia dell’Ateneo esterni al Comitato stesso. Il Garante degli Studenti, sulla base delle segnalazioni pervenute da parte degli studenti e a seguito dei necessari accertamenti, propone agli organi competenti le opportune iniziative e ne riferisce al Comitato. Per le questioni che implicano problemi di riservatezza personale il Garante degli Studenti riferisce direttamente al Rettore.;explicit_reference;1.0
9;regolamento:13:1;Ai sensi dell’art. 25 dello Statuto è istituita una commissione paritetica docenti-studenti denominata Comitato Paritetico per la Didattica con la finalità di cooperare al miglioramento dei servizi forniti agli studenti. Il Regolamento del Comitato, approvato dal Senato Accademico, ne specifica il funzionamento.;statuto:25;"È istituita una commissione paritetica docenti-studenti denominata Comitato Paritetico per la Didattica con la finalità di cooperare al miglioramento dei servizi forniti agli studenti. Il Comitato Paritetico per la Didattica è competente: a svolgere attività di monitoraggio dell'offerta formativa e della qualità della didattica, della organizzazione didattica nonché dell'attività di servizio agli studenti e di supporto al diritto allo studio; a individuare indicatori per la valutazione dei risultati delle stesse. Il Comitato Paritetico per la Didattica redige annualmente una relazione sulla didattica e sul complesso dei servizi forniti agli studenti, formulando pareri ed eventuali proposte per il miglioramento della didattica, la trasmette al Senato Accademico e, per le parti di loro competenza, ai Direttori dei Dipartimenti, ai Referenti e ai Coordinatori. Il Comitato Paritetico per la Didattica è composto da un docente di ruolo per ogni Dipartimento e un ugual numero di studenti. I componenti sono designati su base elettiva secondo quanto stabilito nel Regolamento Generale di Ateneo. Il mandato dei docenti dura tre anni ed è rinnovabile; quello degli studenti ha durata biennale. Il Comitato Paritetico per la Didattica nomina al suo interno un Presidente, scelto tra i docenti, e un Vicepresidente scelto tra gli studenti. Il Comitato Paritetico per la Didattica nomina il Garante degli Studenti.";explicit_reference;1.0
10;regolamento:14:1;Ai sensi dell’art. 26 dello Statuto è istituita la Scuola di Dottorato con lo scopo di promuovere, organizzare e gestire le attività formative relative ai dottorati di ricerca e alle Scuole di Specializzazione, in accordo con le linee di indirizzo definite dal Senato Accademico, dal Consiglio di Amministrazione e dal Comitato di Ateneo per la Ricerca e il Trasferimento Tecnologico. Il Regolamento della Scuola, approvato dal Senato Accademico, ne specifica il funzionamento.;statuto:26;"È istituita la Scuola di Dottorato con lo scopo di promuovere, organizzare e gestire le attività formative relative ai dottorati di ricerca e alle Scuole di Specializzazione. Il suo funzionamento è definito da apposito regolamento. Sono Organi della Scuola di Dottorato: il Consiglio, il Direttore, il Comitato esecutivo. a) Il Consiglio ha i seguenti compiti: - individuare i nominativi dei candidati alla funzione di Direttore della scuola; - nominare i componenti del Comitato esecutivo; - definire le linee programmatiche, anche su base pluriennale, delle attività del dottorato e delle Scuole di Specializzazione; - coordinare le attività didattiche inerenti i corsi di dottorato e di Specializzazione. b) Il Consiglio della Scuola è costituito da: - cinque professori universitari o ricercatori a tempo indeterminato anche esterni al Politecnico, nominati dal Rettore su designazione del Senato Accademico, notoriamente qualificati per la rilevanza dell’attività scientifica; - i coordinatori dei collegi dei docenti dei corsi di dottorato di ricerca con sede nei Dipartimenti, anche interateneo, del Politecnico e i Direttori delle Scuole di Specializzazione; - tre rappresentanti degli iscritti ai corsi di dottorato di ricerca e di specializzazione presso il Politecnico, eletti con modalità definite dall’apposito Regolamento. c) Il Direttore della Scuola di Dottorato è nominato dal Rettore su indicazione del Consiglio della Scuola. Il mandato dura tre anni ed è rinnovabile una sola volta. d) Il Direttore rappresenta la Scuola di Dottorato nel Comitato di Ateneo per la Ricerca, Trasferimento Tecnologico e Servizi al Territorio. e) Il Comitato esecutivo è formato dal Direttore della scuola e da cinque componenti del Consiglio tra cui almeno uno studente di dottorato o di specializzazione, individuati secondo criteri stabiliti da apposito regolamento e delibera su tutte le materie per le quali è stato delegato dal Consiglio.";explicit_reference;1.0
